avg,elo,ff,loss
1210162,1221,3,10
1210574,966,18,20
1211317,1213,38,57
1211540,906,53,62
1212328,1171,64,120
1212799,871,15,19
1212989,1084,17,28
1213811,919,5,8
1213906,1120,5,7
1214258,912,101,116
1216856,1142,11,29
1216859,1011,36,53
1217228,1267,80,249
1217277,1047,16,21
1217362,1218,76,89
1217543,962,92,105
1217941,1015,97,120
1218109,1156,7,18
1219021,1109,57,159
1219103,1133,9,39
1219482,1122,74,141
1220586,1153,94,116
1220767,1136,11,17
1221717,1130,7,15
1221927,874,4,6
1222399,1005,41,52
1222456,1082,21,33
1222708,1241,25,79
1222945,1170,103,138
1222981,1041,22,55
1223584,1015,14,16
1224179,1083,1,4
1224786,1132,49,84
1225605,1024,53,68
1226198,965,9,10
1226499,1138,2,4
1229315,1207,4,15
1229332,1130,4,11
1229625,1134,36,46
1229722,1078,12,15
1231005,1051,17,21
1231836,1125,52,136
1231869,1131,4,11
1231905,1280,3,15
1232169,1292,2,4
1234030,1027,181,198
1234059,908,5,5
1234533,1017,4,7
1234998,1140,138,278
1237648,1094,440,486
1237746,862,87,87
1237793,907,11,13
1237880,1121,66,84
1238607,1206,91,126
1239120,969,4,4
1239590,1228,0,2
1240208,852,2,4
1240255,1105,256,301
1241221,1219,22,54
1241476,1255,155,207
1241628,1233,18,44
1242202,1188,26,45
1242346,953,7,10
1243206,1090,111,119
1243318,748,24,28
1243842,1089,28,36
1243961,938,1,4
1244556,959,88,107
1244810,806,28,28
1245267,1024,4,6
1245320,502,33,34
1245490,1204,45,131
1247089,888,21,24
1247189,1160,12,33
1247947,909,106,120
1248162,1197,20,38
1248268,1051,38,50
1248522,983,81,85
1249499,1073,97,181
1249633,1016,18,19
1249652,1255,11,25
1250029,1155,25,52
1250055,1285,1,5
1250111,954,7,10
1250965,918,168,180
1251192,1185,215,264
1251477,916,19,19
1252045,993,54,64
1253707,944,30,43
1254632,1098,128,143
1254644,1031,17,23
1254675,968,25,34
1254801,918,12,13
1254871,1028,4,11
1254925,978,14,16
1255194,1134,6,11
1255435,1066,5,9
1256015,937,8,17
1256395,1011,42,54
1256566,1076,4,11
1256611,903,399,417
1256767,1140,1,2
1257020,1285,100,164
1257663,1113,6,7
1258518,1256,6,23
1259287,1077,5,5
1259357,1021,18,28
1259822,967,30,40
1260021,950,24,25
1261054,1291,5,16
1261308,1134,83,140
1262140,1017,6,8
1262765,1095,216,294
1264009,1048,1,4
1264250,1179,170,205
1264449,1205,286,434
1264924,967,20,26
1265361,1208,19,165
1266565,1090,59,218
1266602,906,83,92
1267498,1172,1,3
1268110,888,22,22
1268596,1058,46,72
1269069,690,32,32
1270764,1112,108,149
1271462,1113,42,61
1271756,1087,1,5
1272224,1188,61,91
1274098,959,14,15
1274374,1017,17,17
1275031,1208,38,56
1275391,1117,29,79
1275544,1099,11,29
1275570,937,45,48
1276888,1187,5,13
1277206,1154,9,18
1277393,1101,13,63
1277794,1237,1,6
1277916,740,23,23
1278175,1077,61,83
1278432,1182,0,3
1278599,887,7,8
1278784,950,54,59
1278879,1020,29,47
1279147,1092,1,1
1279348,1096,68,109
1280587,1076,41,50
1280824,1037,9,13
1280904,980,26,26
1281034,1252,40,78
1281300,1057,9,19
1281547,1098,64,74
1282119,1095,5,8
1282691,1159,5,24
1283559,1109,161,205
1283857,931,22,23
1284305,1117,18,34
1285770,1012,12,12
1286691,942,51,88
1287166,911,7,8
1287766,1074,115,177
1287939,787,19,22
1288162,909,42,51
1291898,1220,9,13
1292015,1036,36,49
1292176,1090,20,27
1292291,1115,12,23
1292580,1065,29,34
1292628,1099,151,224
1292937,1046,23,48
1293723,1116,67,81
1294177,1078,35,85
1295191,1073,36,44
1295389,998,260,311
1295527,919,16,17
1295540,1108,233,325
1295977,1189,430,521
1296426,1259,0,4
1298215,995,72,77
1300084,1112,9,10
1300607,878,1,4
1301173,1162,4,25
1302229,916,99,162
1302273,1227,42,61
1302756,976,73,85
1303973,1042,70,105
1304473,1145,30,47
1305841,1048,8,10
1306766,1002,3,3
1307436,1066,2,4
1308569,1012,5,5
1309129,835,43,46
1309269,921,225,247
1309444,1061,10,15
1310576,1024,11,12
1310811,1011,20,26
1311640,987,140,142
1311923,1240,22,41
1312576,1207,5,16
1312621,1146,59,87
1313052,1026,5,10
1313222,817,10,13
1314144,1064,17,19
1314236,836,23,23
1314614,1132,81,98
1314833,1184,63,94
1315187,953,21,34
1315772,1080,54,66
1316226,1027,5,6
1316374,1108,12,61
1316427,1100,43,59
1316513,1065,8,12
1317274,1040,15,18
1318456,1238,34,97
1319930,1070,45,66
1321175,975,23,27
1321436,1135,16,24
1323166,1246,249,423
1323820,1006,77,112
1323888,941,4,6
1324478,927,44,45
1325332,1089,37,122
1325438,972,143,163
1326409,961,56,64
1326882,1079,80,108
1327358,1155,39,51
1328059,960,30,34
1329189,726,50,50
1329738,970,228,242
1329794,996,15,18
1329983,905,43,51
1330770,676,38,39
1330837,1105,94,116
1330954,952,10,12
1331371,919,10,12
1331459,799,107,134
1332656,971,25,28
1332679,1014,67,84
1333412,1006,22,27
1333650,1234,8,26
1334108,1095,10,14
1334497,807,36,38
1335404,1062,35,53
1335463,1299,7,60
